,sbd,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
1128,2048293,8,6.75,7.75,5.5,4,,,,,,9,
1129,2048294,7.4,7,6.5,7.25,6.75,,,,,,9,
1130,2048295,,,,,,,,,,,,
1131,2048296,8.8,6.75,8.75,7,4.75,,,,,,8.2,
1132,2048297,,,,,,,,,,,,
1133,2048298,,,,,,,,,,,,
1134,2048299,8.4,7.25,6.5,6.25,5.25,,,,,,8.2,
1135,2048300,8,6.5,7.75,5.5,5.25,,,,,,8.6,
1136,2048301,,,,,,,,,,,,
1137,2048302,8.8,6.25,9.25,7,6.5,,,,,,7.2,
1138,2048303,,,,,,,,,,,,
1139,2048304,,,,,,,,,,,,
1140,2048305,7.6,6,7.75,6.75,6.25,,,,,,9.2,
1141,2048306,8.8,5.5,8.5,9,7,,,,,,8.6,
1142,2048307,8.2,5.75,5.25,7.25,4.75,,,,,,7.8,
1143,2048308,,,,,,,,,,,,
1144,2048309,,,,,,,,,,,,
1145,2048310,9,7.5,5.75,8.75,4.75,,,,,,8,
1146,2048311,,,,,,,,,,,,
1147,2048312,8.4,6,6.25,9.25,8.5,,,,,,8.4,
1148,2048313,,,,,,,,,,,,
1149,2048314,8.6,5.5,6,8.5,4.75,,,,,,8.6,
1150,2048315,8.6,5.5,8.5,8,6.25,,,,,,8,
1151,2048316,8.8,5,8.25,6.5,5.25,,,,,,8.4,
1152,2048317,8.2,4.75,7.25,6.5,4,,,,,,6.2,
1153,2048318,7.8,6.25,8,7.75,5,,,,,,8.4,
1154,2048319,,,,,,,,,,,,
1155,2048320,8.6,6.5,8.75,7.5,5.5,,,,,,8.8,
1156,2048321,8.4,6.5,6,8,7.5,,,,,,7.4,
1157,2048322,7.2,6.5,7.25,5,4.75,,,,,,7.2,
1158,2048323,8.2,4.5,7.75,8.75,5.5,,,,,,4.8,
1159,2048324,8.2,6.5,9,9.25,7.5,,,,,,8,
1160,2048325,8,6.75,7.25,5.75,6,,,,,,8.4,
1161,2048326,,,,,,,,,,,,
1162,2048327,7.4,6.75,7,6.75,4,,,,,,7.6,
1163,2048328,8.6,6.75,7.5,7.25,5,,,,,,9.4,
1164,2048329,,,,,,,,,,,,
1165,2048330,8.2,6,6.25,5.25,4.5,,,,,,8,
1166,2048331,,,,,,,,,,,,
1167,2048332,,,,,,,,,,,,
1168,2048333,3.2,4.75,3.5,2.5,3.75,,,,,,,
1169,2048334,9.2,7.75,5.5,7,6.25,,,,,,8.2,
1170,2048335,8.6,7.75,7,7.25,6,,,,,,9.4,
1171,2048336,8.6,7.25,7.25,8,6,,,,,,7.8,
1172,2048337,8.4,7,6.75,8.5,8,,,,,,8.6,
1173,2048338,7.4,7,5.25,5.5,4.5,,,,,,8,
1174,2048339,,,,,,,,,,,,
1175,2048340,,,,,,,,,,,,
1176,2048341,7.2,7.5,6.25,5.25,3.5,,,,,,6.6,
1177,2048342,7.6,6,4,5,5.75,,,,,,8.2,
1178,2048343,,,,,,,,,,,,
1179,2048344,,,,,,,,,,,,
1180,2048345,7.6,5.25,7.25,7.25,5,,,,,,8.6,
1181,2048346,8.2,7.25,8.5,7.25,4.5,,,,,,8,
1182,2048347,8.8,6.5,9,8,6.75,,,,,,9.8,
1183,2048348,7.2,5,7.75,7.25,6.75,,,,,,8.6,
1184,2048349,,,,,,,,,,,,
1185,2048350,7.8,7,5.25,7,5,,,,,,6.4,
1186,2048351,8.8,7.75,8.75,7,6,,,,,,8,
1187,2048352,7.8,8.25,8.25,7.25,5,,,,,,8,
1188,2048353,8,8.25,6.5,6.75,3.5,,,,,,6.4,
1189,2048354,,,,,,,,,,,,
1190,2048355,9.4,7.75,5.5,9,9,,,,,,8,
1191,2048356,8.6,,,7.25,6.5,,,,,,,
1192,2048357,7.8,7.25,5.75,6.75,6,,,,,,7.8,
1193,2048358,8.6,6.75,7.75,7.25,5.5,,,,,,8.4,
1194,2048359,,,,,,,,,,,,
1195,2048360,7.8,5,4.75,7.25,8,,,,,,8.4,
1196,2048361,8.8,6.5,6.75,9.5,8.75,,,,,,9,
1197,2048362,7,5.75,8,7,4.5,,,,,,6.4,
1198,2048363,7.6,7,6.5,8,8.5,,,,,,6.2,
1199,2048364,7.8,6,8,8,4.5,,,,,,8.2,
1200,2048365,,,,,,,,,,,,
1201,2048366,7.8,7.5,7.5,5.75,6,,,,,,8.8,
1202,2048367,8.4,5.75,7.25,8,8.25,,,,,,6.8,
1203,2048368,,,,,,,,,,,,
1204,2048369,,,,,,,,,,,,
1205,2048370,,,,,,,,,,,,
1206,2048371,,,,,,,,,,,,
1207,2048372,9,5.75,8.75,6.75,7.25,,,,,,9,
1208,2048373,8.8,6,8,8,4.25,,,,,,5.8,
1209,2048374,,,,,,,,,,,,
1210,2048375,7,7.5,3.75,4.75,4.25,,,,,,9.4,
1211,2048376,,,,,,,,,,,,
1212,2048377,,,,,,,,,,,,
1213,2048378,,,,,,,,,,,,
1214,2048379,,,,,,,,,,,,
1215,2048380,,,,,,,,,,,,
1216,2048381,,,,,,,,,,,,
1217,2048382,7.6,5.5,8.25,7.75,5.5,,,,,,9.4,
1218,2048383,8.6,7,9.25,7.75,4.5,,,,,,9,
1219,2048384,,,,,,,,,,,,
1220,2048385,8.4,,,9,5.75,,,,,,,
1221,2048386,8.4,6.75,8.5,8,4.5,,,,,,6.4,
1222,2048387,8.4,6.25,6,6.5,5,,,,,,7.2,
1223,2048388,,,,,,,,,,,,
1224,2048389,,,,,,,,,,,,
1225,2048390,7.8,7,8.25,7.5,7.75,,,,,,9,
1226,2048391,,,,,,,,,,,,
1227,2048392,8,8.5,8.5,8.5,7.75,,,,,,9,
1228,2048393,,,,,,,,,,,,
1229,2048394,,,,,,,,,,,,
1230,2048395,,,,,,,,,,,,
1231,2048396,9,7.25,7.75,8.5,7.25,,,,,,8.6,
1232,2048397,,,,,,,,,,,,
1233,2048398,8,7,7,7.25,4,,,,,,8,
1234,2048399,8.2,6.5,8,8.75,8,,,,,,8.8,
1235,2048400,8.4,8.25,5.25,4.25,5.5,,,,,,7.6,
1236,2048401,5.4,6.5,5,4.25,3.75,,,,,,6.4,
1237,2048402,,,,,,,,,,,,
1238,2048403,,,,,,,,,,,,
1239,2048404,8.8,6,7.75,6,6,,,,,,9,
1240,2048405,,,,,,,,,,,,
1241,2048406,,,,,,,,,,,,
1242,2048407,,,,,,,,,,,,
1243,2048408,8.2,6,7.25,6,5.25,,,,,,8.2,
1244,2048409,6.8,6,6,5.25,4.75,,,,,,8.2,
1245,2048410,7.6,,,7.75,7.25,,,,,,,
1246,2048411,8.4,6.5,5,8.75,9,,,,,,8,
1247,2048412,,,,,,,,,,,,
1248,2048413,9,4.75,8.75,3.25,2.5,,,,,,8,
1249,2048414,,,,,,,,,,,,
1250,2048415,8.6,7.5,7,7.25,6.25,,,,,,9,
1251,2048416,7.6,6.5,7.25,7.5,4,,,,,,7.8,
1252,2048417,8.2,5,5.75,8.5,5.75,,,,,,8.4,
1253,2048418,,,,,,,,,,,,
1254,2048419,,,,,,,,,,,,
1255,2048420,8.2,6.5,7.25,7.75,4.75,,,,,,8.8,
1256,2048421,8.8,4.5,8.75,9,4.75,,,,,,6.4,
1257,2048422,7.8,6.75,7.5,7.25,7.25,,,,,,9,
1258,2048423,,,,,,,,,,,,
1259,2048424,8.6,7,8,7.5,6.5,,,,,,8.4,
1260,2048425,9,7.75,8.25,8.25,6.75,,,,,,6.6,
1261,2048426,,,,,,,,,,,,
1262,2048427,,,,,,,,,,,,
1263,2048428,,,,,,,,,,,,
1264,2048429,7.8,6.25,5.75,6.25,3,,,,,,7.4,
1265,2048430,8,7.5,7.5,7.75,5,,,,,,8.6,
1266,2048431,7.8,6.25,8,8.75,6,,,,,,8.6,
1267,2048432,8,,,8.25,8.75,,,,,,7.2,
1268,2048433,9.4,6,8.25,9,5.75,,,,,,9.2,
1269,2048434,8.2,5.5,7.25,7.5,5.75,,,,,,8,
1270,2048435,8.8,6,8,6.75,5.5,,,,,,7,
1271,2048436,8.6,,3.5,8.75,8.5,,,,,,,
1272,2048437,,,,,,,,,,,,
1273,2048438,,,,,,,,,,,,
1274,2048439,7.8,4.5,6.5,7.5,3.75,,,,,,8.4,
1275,2048440,,,,,,,,,,,,
1276,2048441,9,4.5,8.5,6.25,4.75,,,,,,9.4,
1277,2048442,8,5.5,6.25,8.25,6.75,,,,,,7.2,
1278,2048443,,,,,,,,,,,,
1279,2048444,,,,,,,,,,,,
1280,2048445,,,,,,,,,,,,
1281,2048446,,,,,,,,,,,,
1282,2048447,8.4,6.25,7.75,6.5,4.75,,,,,,7.2,
1283,2048448,7.8,7.25,8.25,6.25,5,,,,,,8,
1284,2048449,,,,,,,,,,,,
1285,2048450,,,,,,,,,,,,
1286,2048451,,,,,,,,,,,,
1287,2048452,,,,,,,,,,,,
1288,2048453,,,,,,,,,,,,
1289,2048454,9,6.5,7,7.5,6.25,,,,,,9,
1290,2048455,7.2,6,5.75,7,4.5,,,,,,7,
1291,2048456,9,6.75,6.75,9,5,,,,,,8.4,
1292,2048457,,,,,,,,,,,,
1293,2048458,7.8,6.5,5.75,7.75,7.5,,,,,,7.4,
1294,2048459,,,,,,,,,,,,
1295,2048460,9.2,5.75,8,5.5,5.75,,,,,,8.6,
1296,2048461,,,,,,,,,,,,
1297,2048462,8.2,5.25,5.75,6.5,5,,,,,,8.4,
1298,2048463,,,,,,,,,,,,
1299,2048464,,,,,,,,,,,,
1300,2048465,9.2,7,8.5,8.75,6.5,,,,,,8.6,
1301,2048466,8.8,6.25,8.5,8.75,7,,,,,,7.8,
1302,2048467,,,,,,,,,,,,
1303,2048468,7.2,6.75,7.25,8,6.25,,,,,,8.6,
1304,2048469,7.4,7.25,5,4,3,,,,,,,
1305,2048470,8.4,6.5,8.5,8.5,5.75,,,,,,6.4,
1306,2048471,7.2,6.5,4,6.25,4.75,,,,,,6.6,
1307,2048472,7.4,7.5,5,4.25,2.75,,,,,,8.8,
1308,2048473,,,,,,,,,,,,
1309,2048474,,,,,,,,,,,,
1310,2048475,7.6,6.5,8,7.5,3.75,,,,,,6.6,
1311,2048476,,,,,,,,,,,,
1312,2048477,,,,,,,,,,,,
1313,2048478,,,,,,,,,,,,
1314,2048479,,,,,,,,,,,,
1315,2048480,7.8,5.25,5.25,7.75,8,,,,,,7.8,
1316,2048481,7.6,6.25,5.5,8,5.25,,,,,,7.4,
1317,2048482,,,,,,,,,,,,
1318,2048483,8.8,6.75,8.75,9.25,8.25,,,,,,8.2,
1319,2048484,,,,,,,,,,,,
1320,2048485,9.2,6,8.5,8,5.75,,,,,,9.6,
1321,2048486,9,6.5,9.25,8.5,5.75,,,,,,9.2,
1322,2048487,8,6.25,6.75,7.25,7.25,,,,,,9,
1323,2048488,,,,,,,,,,,,
1324,2048489,,,,,,,,,,,,
1325,2048490,8.6,7.5,9.25,8,6.5,,,,,,,
1326,2048491,8.6,7.25,7.25,8,7.5,,,,,,9.2,
1327,2048492,7.4,6.75,7.5,7.25,7.25,,,,,,8,
1328,2048493,7.8,6,3.75,7,4.25,,,,,,8.2,
1329,2048494,,,,,,,,,,,,
1330,2048495,,,,,,,,,,,,
1331,2048496,,,,,,,,,,,,
1332,2048497,8,7.5,6.5,6.75,7.25,,,,,,8.8,
1333,2048498,7.8,6.75,7.5,8,6.25,,,,,,8.4,
1334,2048499,7.8,7,7.75,5.75,5.25,,,,,,8.4,
1335,2048500,,,,,,,,,,,,
1336,2048501,8.4,6.5,5.5,8.75,7.75,,,,,,5.8,
1337,2048502,8.8,7,7.75,6,6.25,,,,,,8.6,
1338,2048503,,,,,,,,,,,,
1339,2048504,7.4,4.5,7,7.75,7.5,,,,,,9.2,
1340,2048505,,,,,,,,,,,,
1341,2048506,9.4,,7.75,8.5,2.5,,,,,,8,
1342,2048507,9,7.75,8.5,8,5.25,,,,,,8,
1343,2048508,,,,,,,,,,,,
1344,2048509,8.8,7.5,7,7,5.75,,,,,,7.6,
1345,2048510,,,,,,,,,,,,
1346,2048511,8.6,6.75,8.25,7.5,6,,,,,,8.2,
1347,2048512,,,,,,,,,,,,
1348,2048513,,,,,,,,,,,,
1349,2048514,7.8,6.5,3.75,3.5,3,,,,,,7.8,
1350,2048515,8.6,6.5,7.75,6,5,,,,,,8.4,
1351,2048516,8.6,7.67,8.5,7.5,4,,,,,,9.2,
1352,2048517,8.2,5.75,6.75,8,6.75,,,,,,7.8,
1353,2048518,7.6,5,7,6.25,7.25,,,,,,9,
1354,2048519,,,,,,,,,,,,
1355,2048520,7.8,6.5,4.25,8,5.25,,,,,,6.2,
1356,2048521,7.2,7.5,5.5,6.5,4.5,,,,,,8,
1357,2048522,,,,,,,,,,,,
1358,2048523,7.6,7.5,6.75,7.5,6.5,,,,,,9.2,
1359,2048524,,,,,,,,,,,,
1360,2048525,,,,,,,,,,,,
1361,2048526,,,,,,,,,,,,
1362,2048527,7.8,8,5.25,6.5,5.25,,,,,,9.6,
1363,2048528,7.8,8,6.75,7.5,7,,,,,,8.2,
1364,2048529,,,,,,,,,,,,
1365,2048530,8.2,7.75,6.75,7.75,6.5,,,,,,8.8,
1366,2048531,7.8,6.5,6.25,7.75,7,,,,,,9.4,
1367,2048532,,,,,,,,,,,,
1368,2048533,9,7.75,6.5,8.5,7,,,,,,9.6,
1369,2048534,,,,,,,,,,,,
1370,2048535,,,,,,,,,,,,
1371,2048536,7.6,8.25,3.75,5.75,4,,,,,,6.4,
1372,2048537,,,,,,,,,,,,
1373,2048538,,,,,,,,,,,,
1374,2048539,8.4,8,6.75,7.25,6.5,,,,,,8.6,
1375,2048540,,,,,,,,,,,,
1376,2048541,7.6,7.5,6.25,7.75,5.25,,,,,,9.6,
1377,2048542,7.4,7.25,7,8,5.75,,,,,,9,
1378,2048543,,,,,,,,,,,,
1379,2048544,,,,,,,,,,,,
1380,2048545,8.6,7.25,7.75,6.5,4.25,,,,,,7.8,
1381,2048546,8.8,6.5,8.25,8.75,6.5,,,,,,7.8,
1382,2048547,7,6,5.5,6.25,4.5,,,,,,,
1383,2048548,7.8,5.25,4.75,5.25,4.75,,,,,,9,
1384,2048549,,,,,,,,,,,,
1385,2048550,8.6,9,8,8.25,7.25,,,,,,9,
1386,2048551,,,,,,,,,,,,
1387,2048552,,,,,,,,,,,,
1388,2048553,8,4.5,6.75,8.75,6.25,,,,,,9.8,
1389,2048554,8.2,6.5,6.25,7.25,5.5,,,,,,8.2,
1390,2048555,,,,,,,,,,,,
1391,2048556,,,,,,,,,,,,
1392,2048557,8.4,,8,7.25,4.5,,,,,,3.6,
1393,2048558,,,,,,,,,,,,
1394,2048559,7.8,6.75,8.5,7,5.25,,,,,,8.2,
1395,2048560,8.4,6.5,6,6.5,4.25,,,,,,8.2,
1396,2048561,7.2,5.5,5,4.75,4,,,,,,,
1397,2048562,7.6,6.5,7.5,8,4,,,,,,8.6,
1398,2048563,8.4,6.5,5.75,7.75,7,,,,,,9,
1399,2048564,,,,,,,,,,,,
1400,2048565,8,6.25,8,7.25,6.25,,,,,,6.2,
1401,2048566,,,,,,,,,,,,
1402,2048567,,,,,,,,,,,,
1403,2048568,6.8,5,6.25,7,6.75,,,,,,,
1404,2048569,,,,,,,,,,,,
1405,2048570,,,,,,,,,,,,
1406,2048571,9.2,4.75,7.75,8,5.75,,,,,,9.6,
1407,2048572,,,,,,,,,,,,
1408,2048573,,,,,,,,,,,,
1409,2048574,8.8,7.5,7.75,7,4.25,,,,,,7.2,
1410,2048575,7.6,7.75,7.25,6.5,4.25,,,,,,8.4,
1411,2048576,6.8,6.75,6.5,7.5,4.75,,,,,,,
1412,2048577,,,,,,,,,,,,
1413,2048578,7.6,5.5,6,6.75,3.25,,,,,,9.6,
1414,2048579,7.4,6.5,6.25,5.5,4.5,,,,,,8,
1415,2048580,8.4,4.75,5.75,8,8.75,,,,,,7.8,
1416,2048581,,,,,,,,,,,,
1417,2048582,,,,,,,,,,,,
1418,2048583,8,6.5,6,6.75,3,,,,,,6.4,
1419,2048584,8.6,6.75,8.25,8.25,6.75,,,,,,9.2,
1420,2048585,8.8,6,8.5,8.25,5.75,,,,,,9.6,
1421,2048586,8,6,7.25,8.5,4.75,,,,,,6,
1422,2048587,8.8,7.25,8,8.5,6.5,,,,,,9.4,
1423,2048588,9,7.5,8.5,7,7.25,,,,,,8.6,
1424,2048589,7.6,6.5,7.25,7.75,9,,,,,,8.8,
1425,2048590,8.2,6.5,8,6,4.25,,,,,,8.2,
1426,2048591,,,,,,,,,,,,
1427,2048592,7.8,6,7,8,7.25,,,,,,8,
1428,2048593,8.2,7.5,8,8.25,6.75,,,,,,7.6,
1429,2048594,8.8,7.75,7,7.5,6.25,,,,,,9,
1430,2048595,,,,,,,,,,,,
1431,2048596,8.6,7,7,8.75,8,,,,,,8.6,
1432,2048597,8.4,7,7.75,4.25,3.75,,,,,,8.4,
1433,2048598,7.6,6.75,5.75,5.75,5,,,,,,8.4,
1434,2048599,8.6,7.25,8.25,7.5,6.5,,,,,,9.4,
1435,2048600,9.2,6.25,8.5,8.25,6.75,,,,,,8.6,
1436,2048601,7,6.25,6.5,6.25,5,,,,,,7.4,
1437,2048602,8,7,8.5,8,4.75,,,,,,8.8,
1438,2048603,,,,,,,,,,,,
1439,2048604,8.4,5,7.25,7,5,,,,,,7.2,
1440,2048605,8.2,6.25,6.5,6.75,6.25,,,,,,8.6,
1441,2048606,,,,,,,,,,,,
1442,2048607,8.2,6.25,4.25,8.75,9.25,,,,,,8.6,
1443,2048608,,,,,,,,,,,,
1444,2048609,8.2,7,8.75,5,4,,,,,,7,
1445,2048610,8.4,5.75,7.5,8.25,4,,,,,,7.8,
1446,2048611,7.6,6,7.25,6,5.5,,,,,,8.4,
1447,2048612,5.6,6.25,3.25,6,4.25,,,,,,6.4,
1448,2048613,8.2,7.5,6.5,6.75,3.75,,,,,,7.2,
1449,2048614,,,,,,,,,,,,
1450,2048615,8.4,6.25,6.5,7.5,5.25,,,,,,7,
1451,2048616,8,7,7.5,8.25,6,,,,,,8.8,
1452,2048617,,,,,,,,,,,,
1453,2048618,8.8,6.5,8.75,6,4.5,,,,,,8.4,
1454,2048619,8,7.25,8.5,5.75,4.75,,,,,,8,
1455,2048620,,,,,,,,,,,,
1456,2048621,7.8,5.75,6.5,7.75,6.25,,,,,,8.8,
1457,2048622,8.4,5.75,8.25,6,5.75,,,,,,9.2,
1458,2048623,8.2,5.5,6,6.75,5.75,,,,,,7.6,
1459,2048624,,,,,,,,,,,,
1460,2048625,8.6,5,7,7.5,3.75,,,,,,8.2,
1461,2048626,,,,,,,,,,,,
1462,2048627,8.4,5,7.75,7,6,,,,,,9,
1463,2048628,8.4,5.75,7,7.75,5.5,,,,,,7,
1464,2048629,7,,,4.5,3.5,,,,,,,
1465,2048630,,,,,,,,,,,,
1466,2048631,,,,,,,,,,,,
1467,2048632,,,,,,,,,,,,
1468,2048633,8,5.75,8,4.75,4.75,,,,,,8.8,
1469,2048634,,,,,,,,,,,,
1470,2048635,,,,,,,,,,,,
1471,2048636,,,,,,,,,,,,
1472,2048637,,,,,,,,,,,,
1473,2048638,,,,,,,,,,,,
1474,2048639,7.8,7,6.75,6.75,5.75,,,,,,,
1475,2048640,,,,,,,,,,,,
1476,2048641,,,,,,,,,,,,
1477,2048642,,,,,,,,,,,,
1478,2048643,8.4,7,6.5,6.75,3.75,,,,,,,
1479,2048644,,,,,,,,,,,,
1480,2048645,7.2,,,8.5,8.5,,,,,,,
1481,2048646,9.4,,,8.75,9,,,,,,,
1482,2048647,,,,,,,,,,,,
1483,2048648,,,,,,,,,,,,
1484,2048649,,,,,,,,,,,,
1485,2048650,,,,,,,,,,,,
1486,2048651,,,,,,,,,,,,
1487,2048652,,,,,,,,,,,,
1488,2048653,,,,,,,,,,,,
1489,2048654,,,,,,,,,,,,
1490,2048655,,,,,,,,,,,,
1491,2048656,,,,,,,,,,,,
1492,2048657,,,,,,,,,,,,
1493,2048658,,,,,,,,,,,,
1494,2048659,,,,,,,,,,,,
1495,2048660,,,,,,,,,,,,
1496,2048661,,,,,,,,,,,,
1497,2048662,,,,,,,,,,,,
1498,2048663,,,,,,,,,,,,
1499,2048664,9,,,9.25,7.5,,,,,,8.6,
1500,2048665,,,,,,,,,,,,
1501,2048666,,,,,,,,,,,,
1502,2048667,,,,,,,,,,,,
1503,2048668,,,,,,,,,,,,
1504,2048669,,,,,,,,,,,,
1505,2048670,,,,,,,,,,,,
1506,2048671,,,,,,,,,,,,
1507,2048672,,,,,,,,,,,,
1508,2048673,,,,,,,,,,,,
1509,2048674,7.6,7,6,7,4.25,,,,,,7.4,
1510,2048675,,,,,,,,,,,,
1511,2048676,,,,,,,,,,,,
1512,2048677,7.8,6.75,5.25,8.25,3.5,,,,,,7.4,
1513,2048678,,,,,,,,,,,,
1514,2048679,,,,,,,,,,,,
1515,2048680,8.6,,8.25,7.75,4.75,,,,,,9.2,
1516,2048681,,,,,,,,,,,,
1517,2048682,9,,9,9.25,4,,,,,,2.8,
1518,2048683,,,,,,,,,,,,
1519,2048684,,,,,,,,,,,,
1520,2048685,,,,,,,,,,,,
1521,2048686,,,,,,,,,,,,
1522,2048687,,,,,,,,,,,,
1523,2048688,,,,,,,,,,,,
1524,2048689,,,,,,,,,,,,
1525,2048690,7,,,8.25,4.25,,,,,,6.8,
1526,2048691,,,,,,,,,,,,
1527,2048692,,,,,,,,,,,,
1528,2048693,6,6,3.25,4,3.75,,,,,,7.8,
1529,2048694,8.6,7,8.5,8,6.25,,,,,,9.2,
1530,2048695,8.6,6.5,9.5,8,6.25,,,,,,8.4,
1531,2048696,7.6,6.5,6.5,6.5,3.75,,,,,,8.2,
1532,2048697,8.2,6.75,7.5,7.25,6.5,,,,,,8.6,
1533,2048698,8.8,7.25,7.25,6.25,6.5,,,,,,9.8,
1534,2048699,8,8,6.75,8.25,8.5,,,,,,7.8,
1535,2048700,,,,,,,,,,,,
1536,2048701,,,,,,,,,,,,
1537,2048702,,,,,,,,,,,,
1538,2048703,,,,,,,,,,,,
1539,2048704,,,,,,,,,,,,
1540,2048705,,,,,,,,,,,,
1541,2048706,,,,,,,,,,,,
1542,2048707,,,,,,,,,,,,
1543,2048708,,,,,,,,,,,,
1544,2048709,,,,,,,,,,,,
1545,2048710,,,,,,,,,,,,
1546,2048711,,,,,,,,,,,,
1547,2048712,,,,,,,,,,,,
1548,2048713,,,,,,,,,,,,
1549,2048714,,,,,,,,,,,,
1550,2048715,,,,,,,,,,,,
1551,2048716,,,,,,,,,,,,
1552,2048717,,,,,,,,,,,,
1553,2048718,7.6,7.5,7.25,8,6,,,,,,8.6,
1554,2048719,7.2,6.25,6,8,5.25,,,,,,8.4,
1555,2048720,7.6,7.5,7,3.75,4.5,,,,,,7,
1556,2048721,8.8,7.75,7.75,7.25,7.25,,,,,,8.6,
1557,2048722,8,3.75,6.75,5.75,4.75,,,,,,8.6,
1558,2048723,,,,,,,,,,,,
1559,2048724,8.2,8,8.25,7.25,6.5,,,,,,8.6,
1560,2048725,8,7.75,7.5,5.75,6.5,,,,,,9.4,
1561,2048726,,,,,,,,,,,,
1562,2048727,8,7.75,7.75,7.25,6.5,,,,,,6.2,
1563,2048728,8.4,8,7.5,7.5,5.25,,,,,,7.4,
1564,2048729,7.4,6,7.75,8,4.75,,,,,,5.2,
1565,2048730,7.8,6.75,7.5,7.75,6.5,,,,,,9.6,
1566,2048731,8,6,7.75,5,3.75,,,,,,7.8,
1567,2048732,8.6,7.25,8.25,6.25,4.75,,,,,,9,
1568,2048733,9,8,6.25,6.75,5,,,,,,8.2,
1569,2048734,8.2,8,5.75,7.75,5,,,,,,6.6,
1570,2048735,,,,,,,,,,,,
1571,2048736,8.8,6.75,7,7.75,6.25,,,,,,9.2,
1572,2048737,8.2,6.5,6.5,8.25,7,,,,,,7,
1573,2048738,9,7.5,7.75,6.25,7.5,,,,,,8.4,
1574,2048739,8.2,5.75,6.5,8.25,4.25,,,,,,7,
1575,2048740,8.2,6.25,7.5,8.25,5.25,,,,,,7.6,
1576,2048741,9,7.75,8,5,4.25,,,,,,7,
1577,2048742,7.8,6.75,7,7.5,8.75,,,,,,8,
1578,2048743,8,7.33,6.25,7.5,6,,,,,,7.4,
1579,2048744,8.2,6.75,7.5,7.5,7.5,,,,,,8.6,
1580,2048745,8.4,6,7.75,9.25,4.25,,,,,,8.2,
1581,2048746,8.6,5.5,6.75,7.25,6.75,,,,,,7.4,
1582,2048747,8,6.25,6.75,8,5.25,,,,,,7,
1583,2048748,8.8,6.25,8,7.5,4.75,,,,,,8.8,
1584,2048749,8,6.5,6.5,6.5,5.25,,,,,,7,
1585,2048750,8.8,7.75,8,7.75,7.5,,,,,,9,
1586,2048751,8,6.42,5,8.25,5.25,,,,,,7.2,
1587,2048752,8.4,7.5,7.25,8.5,6.75,,,,,,8.6,
1588,2048753,,,,,,,,,,,,
1589,2048754,8.6,8,8.75,6.75,5.75,,,,,,9.4,
1590,2048755,7.2,5.75,7.75,7.75,4.25,,,,,,6,
1591,2048756,8.8,5.67,7.5,8,4,,,,,,8,
1592,2048757,8.2,7,7.75,7.25,6.75,,,,,,7.8,
1593,2048758,7.2,7.25,5.5,7.25,7.25,,,,,,9,
1594,2048759,,,,,,,,,,,,
1595,2048760,8.8,6.75,9.25,9,5.5,,,,,,8,
1596,2048761,8,7.75,7.25,5.75,5.5,,,,,,8.4,
1597,2048762,,,,,,,,,,,,
1598,2048763,8.2,7,7,7,4.25,,,,,,7.6,
1599,2048764,7.6,5.5,7.25,5,5.5,,,,,,9.2,
1600,2048765,7.8,7.5,9,7.75,6.75,,,,,,9,
1601,2048766,8.6,6.5,7.25,7,4.75,,,,,,7.4,
1602,2048767,6.8,8,7.25,7,4.75,,,,,,8,
1603,2048768,7.4,6.58,7,7.25,4.5,,,,,,7.4,
1604,2048769,9,6.75,7,8.5,7.75,,,,,,8.2,
1605,2048770,7.2,6.75,7,6.5,6,,,,,,7.8,
1606,2048771,6.6,6.25,4.75,4.5,3.75,,,,,,7,
1607,2048772,7.6,7.25,5.75,7.75,4.25,,,,,,7.2,
1608,2048773,8.4,6.5,8,9,6.25,,,,,,8.6,
1609,2048774,8.8,5.5,8.25,8.25,5.75,,,,,,9,
1610,2048775,8.4,7.5,5.5,8.25,9,,,,,,8.6,
1611,2048776,8.8,6.25,7.75,7.5,6.25,,,,,,9,
1612,2048777,8.6,7,8.5,8.25,5.25,,,,,,6.2,
1613,2048778,8.8,8,7.25,6.25,6,,,,,,8,
1614,2048779,8,6.25,7,9,6.5,,,,,,7.4,
1615,2048780,7.8,6,8.5,8.5,4.5,,,,,,8,
1616,2048781,8.2,7.25,8.25,8.5,7.75,,,,,,9.4,
1617,2048782,,,,,,,,,,,,
1618,2048783,,,,,,,,,,,,
1619,2048784,8,7,7.25,5.75,6.25,,,,,,8.2,
1620,2048785,8.6,5,4.75,8,6,,,,,,7.4,
1621,2048786,,,,,,,,,,,,
1622,2048787,8.4,6.42,7.25,8.5,8.5,,,,,,8.8,
1623,2048788,8.4,7.75,5.75,8,7.75,,,,,,7.6,
1624,2048789,8,7.25,5.25,7,4.75,,,,,,8,
1625,2048790,8.4,7,8,6.5,4.75,,,,,,8.4,
1626,2048791,8.2,7,8,8.25,8,,,,,,9.2,
1627,2048792,8.4,5.75,5.5,8.25,4.5,,,,,,8.2,
1628,2048793,,,,,,,,,,,,
1629,2048794,8.4,6.5,7.25,7.75,5.5,,,,,,9,
1630,2048795,7.8,7,6.75,5.75,5.5,,,,,,8.8,
1631,2048796,,,,,,,,,,,,
1632,2048797,,,,,,,,,,,,
1633,2048798,9.4,7.25,6,9.5,7,,,,,,7,
1634,2048799,7.4,6,7.5,7.75,4.25,,,,,,9.4,
1635,2048800,,,,,,,,,,,,
