,sbd,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
415,2047580,,,,,,,,,,,,
416,2047581,5.4,6.25,3.75,4.5,5.25,,,,,,5.4,
417,2047582,,,,,,,,,,,,
418,2047583,,,,,,,,,,,,
419,2047584,,,,,,,,,,,,
420,2047585,6.6,6.5,5.75,6.25,4.5,,,,,,,
421,2047586,,,,,,,,,,,,
422,2047587,,,,,,,,,,,,
423,2047588,,,,,,,,,,,,
424,2047589,,,,,,,,,,,,
425,2047590,,,,,,,,,,,,
426,2047591,,,,,,,,,,,,
427,2047592,,,,,,,,,,,,
428,2047593,,,,,,,,,,,,
429,2047594,,,,,,,,,,,,
430,2047595,,,,,,,,,,,,
431,2047596,,,,,,,,,,,,
432,2047597,,,,,,,,,,,,
433,2047598,,,,,,,,,,,,
434,2047599,,,,,,,,,,,,
435,2047600,,,,,,,,,,,,
436,2047601,,,,,,,,,,,,
437,2047602,,,,,,,,,,,,
438,2047603,6.8,5.25,7,6.25,4.25,,,,,,,
439,2047604,5.6,4.5,4.5,5.5,4.25,,,,,,,
440,2047605,,,,,,,,,,,,
441,2047606,,,,,,,,,,,,
442,2047607,7,,,4.75,4.5,,,,,,,
443,2047608,5,5.5,5.75,6,4.25,,,,,,,
444,2047609,,,,,,,,,,,,
445,2047610,,,,,,,,,,,,
446,2047611,8.2,6,7.75,7.25,6,,,,,,,
447,2047612,,,,,,,,,,,,
448,2047613,6.2,5,5.25,5.25,3.5,,,,,,,
449,2047614,,,,,,,,,,,,
450,2047615,,,,,,,,,,,,
451,2047616,9.6,,,9,8.25,,,,,,,
452,2047617,6.8,,3.5,7.75,7.25,,,,,,,
453,2047618,,,,,,,,,,,,
454,2047619,,,,,,,,,,,,
455,2047620,,,,,,,,,,,,
456,2047621,9.4,,3.5,9.25,8.25,,,,,,,
457,2047622,7.8,,,8.25,7.75,,,,,,,
458,2047623,,,,,,,,,,,,
459,2047624,9,,6,8.75,9,,,,,,,
460,2047625,6,6.5,6.5,5.5,4.75,,,,,,,
461,2047626,9,,,8.5,8.75,,,,,,,
462,2047627,,,,,,,,,,,,
463,2047628,,,,,,,,,,,,
464,2047629,2.6,,,3.5,3.5,,,,,,,
465,2047630,,,,,,,,,,,,
466,2047631,7.2,6.25,6.5,7.5,5.75,,,,,,,
467,2047632,,,,,,,,,,,,
468,2047633,5.6,5.25,5,4,3.5,,,,,,,
